1,5.09,Повторення матеріалу вивченого у 6 класі
2,7.09,Повторення матеріалу вивченого у 6 класі
3,12.09,Геометричні фігури.
4,14.09,"Точка, пряма, відрізок, промінь та їх властивості"
5,19.09,Відрізок. Вимірювання відрізків.
6,21.09,Відстань між двома точками
7,26.09,Кут. Вимірювання кутів. Бісектриса кута.
8,28.09,Кут. Вимірювання кутів. Бісектриса кута.
9,03.10,"Суміжні кути, їх властивості"
10,05.10,"Вертикальні  кути, їх властивості. Кут між двома прямими, що перетинаються"
11,10.10,"Узагальнення та систематизація знань, вмінь та навичок"
12,12.10,Контрольна робота № 1« Елементарні геометричні фігури та їх властивості»
13,17.10,"Корекція знань, вмінь та навичок"
14,19.10,Перпендикулярні прямі. Перпендикуляр.
15,31.10,Відстань від точки до прямої.
16,02.11,"Паралельні прямі, та їх властивості"
17,07.11,"Паралельні прямі, та їх властивості."
18,9.11,"Кути, утворені при перетині двох прямих січною."
19,14.11,"Кути, утворені при перетині двох прямих січною."
20,16.11,Ознаки паралельності прямих.
21,21.11,Ознаки паралельності прямих.
22,23.11,"Властивості кутів, утворених при перетині паралельних прямих січною"
23,28.11,"Властивості кутів, утворених при перетині паралельних прямих січною"
24,30.11,"Узагальнення та систематизація знань, вмінь та навичок"
25,5.12,Контрольна робота № 2 « Взаємне розміщення прямих  на площині»
26,7.12,"Корекція знань, вмінь та навичок"
27,12.12,Трикутник і його елементи
28,14.12,Трикутник і його елементи.
29,19.12,Рівність геометричних фігур
30,21.12,Підсумковий урок за І семеср
31,09.01.,Ознаки рівності трикутників
32,11.01.,Ознаки рівності трикутників
33,16.01.,Ознаки рівності трикутників
34,18.01.,Рівнобедрений трикутник та його властивості
35,23.01.,Розв’язування вправ
36,25.01.,Рівнобедрений трикутник та його властивості
37,30.01.,Розв’язування вправ
38,01.02.,Сума кутів трикутника.
39,06.02.,Сума кутів трикутника. Нерівність трикутника
40,08.02.,Розв’язування вправ
41,13.02.,Розв’язування вправ
42,15.02.,Прямокутний трикутник
43,20.02.,Розв’язування вправ
44,22.02.,Властивості прямокутного трикутника
45,27.02.,Розв’язування вправ
46,29.02.,Розв’язування вправ
47,05.03.,Розв’язування вправ
48,07.03.,Узагальнення і систематизація знань
49,12.03.,Контрольна робота №3 за темою: «Паралельні прямі. сума кутів трикутника»
50,14.03.,Аналіз контрольної роботи . Геометричне місце точок. Коло та круг
51,19.03.,Властивості кола. Дотична до кола
52,21.03.,Розв’язування вправ
53,02.04.,"Коло, вписане  в трикутник, та коло, описане навколо трикутника"
54,04.04.,Розв’язування вправ
55,09.04.,Розв’язування вправ
56,11.04.,Задачі на побудову
57,16.04.,Метод геометричних місць точок в задачах на побудову
58,18.04.,Розв’язування задач
59,23.04.,Узагальнення і систематизація знань
60,25.04.,Контрольна робота №4 за темою: «Коло і круг»
61,30.04.,Аналіз контрольної роботи . Взаємне розміщення прямих на площині
62,02.05.,Ознаки рівності трикутників
63,07.05.,Рівнобедрений трикутник
64,09.05.,Властивості прямокутних трикутників
65,14.05,Властивості прямокутних трикутників
66,16.05.,Коло. Круг
67,21.05.,Коло. Круг
68,23.05.,Підсумкова контрольна робота за рік
69,28.05.,Аналіз контрольної роботи
70,30.05.,Підсумковий урок
