1,04.09,Повторення матеріалу вивченого у 8 класі
2,06.09,Повторення матеріалу вивченого у 8 класі
3,11.09,Числові нерівності.
4,13.09,Числові нерівності.
5,18.09,Числові нерівності. Основні властивості числових нерівностей
6,20.09,Основні властивості числових нерівностей.
7,25.09,Почленне додавання і множення  нерівностей.
8,27.09,Нерівності зі змінними
9,2.10,Нерівності зі змінними
10,9.10,Числові проміжки.
11,11.10,Лінійні нерівності з однією змінною.
12,16.10,Лінійні нерівності з однією змінною.
13,18.10,Рівносильні нерівності.
14,14.10,Системи лінійних нерівностей з однією змінною
15,30.10,Системи лінійних нерівностей з однією змінною
16,1.11,"Узагальнення та систематизація знань, вмінь та навичок"
17,6.11,Контрольна робота № 2 « Нерівності»
18,8.11,"Корекція знань, вмінь та навичок"
19,13.11,"Властивості функції. Нулі функції, проміжки знакосталості, зростання і спадання функції, найбільше та найменше значення функції."
20,15.11,"Властивості функції. Нулі функції, проміжки знакосталості, зростання і спадання функції, найбільше та найменше значення функції."
21,20.11,"Властивості функції. Нулі функції, проміжки знакосталості, зростання і спадання функції, найбільше та найменше значення функції"
22,22.11,Перетворення графіків функцій.
23,27.11,Перетворення графіків функцій.
24,29.11,"Квадратична функція, її графік і властивості."
25,4.12,"Квадратична функція, її графік і властивості."
26,6.12,Квадратна нерівність
27,11.12,Квадратна нерівність
28,13.12,Розв’язування задач
29,18.12,Контрольна робота № 3
30,20.12,Підсумковий урок
31,08.01.,Аналіз к.р. Квадратна нерівність
32,10.01.,Квадратна нерівність
33,15.01.,Квадратна нерівність
34,17.01.,Квадратна нерівність. Самостійна робота
35,22.01.,Розв’язання систем двох рівнянь із двома змінними
36,24.01.,Розв’язання системи двох рівнянь із двома змінними
37,29.01.,Розв’язання системи двох рівнянь із двома змінними
38,31.01.,Система двох рівнянь із двома змінними як математична модель прикладної задачі
39,05.02.,Розв’язання текстових задач складанням системи рівнянь з двома змінними
40,07.02.,Розв’язування задач. Самостійна робота
41,12.02.,Розв’язування задач.
42,14.02,"Узагальнення та систематизація знань, вмінь та навичок"
43,21.02.,"Арифметична прогресія, її властивості. Формула n-го члена арифметичної прогресії."
44,26.02.,Розв’язування задач
45,28.02.,Сума перших n членів арифметичної прогресії
46,04.03.,Розв’язування задач. Самостійна робота
47,06.03.,"Геометрична прогресія, її властивості 
Формула n-го члена геометричної прогресії"
48,11.03.,Сума перших n членів геометричної прогресії
49,13.03.,Розв’язування задач. Самостійна робота
50,18.03.,Розв’язування задач
51,20.03.,"Узагальнення та систематизація знань, вмінь та навичок"
52,01.04.,К.Р. №4. з теми «Числові послідовності»
53,10.04.,Основні правила комбінаторики
54,15.04.,Випадкова подія. Частота та ймовірність випадкової події
55,17.04.,Частота та ймовірність випадкової події
56,22.04.,Початкові відомості про статистику. Способи подання даних та їхньої обробки
57,24.04.,Розв’язування задач. Самостійна робота
58,29.04.,"Узагальнення та систематизація знань, вмінь та навичок"
59,01.05.,"К.Р. №6. з теми « «Основи комбінаторики, теорії ймовірності та статистики»"
60,06.05.,"Розв’язування рівнянь, нерівностей та їх систем"
61,13.05.,Числові послідовності
62,15.05.,"Узагальнення та систематизація знань, вмінь та навичок"
63,20.05.,Підсумкова контрольна робота №7
64,22.05.,Аналіз підсумкової контрольної роботи
65,27.05.,Розв’язування задач
66,29.05.,Розв’язування задач
